bike_id,lat,lon,is_reserved,is_disabled,vehicle_type,last_updated,year,month,day,hour,minute
a46833de-3548-4aca-8d59-41c9b962a23e,37.7529,-122.3857,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
83ed87fc-26dc-4f3c-9d1e-ea62254748b3,37.7504,-122.3861,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
07afb028-bc4d-4ce3-aa1e-cc7abb24e13f,37.7674,-122.3864,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
0e098c8d-ae2f-4e37-a6dc-f7d7b63066bd,37.7699,-122.3865,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
c613c005-ddc1-4824-9900-3c8ce4e6edc5,37.7671,-122.3869,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
b7a6b17c-12a9-4afe-b2c2-345473487eaa,37.767,-122.3869,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
8c2a7520-cba2-482d-953b-8977fbe91fe1,37.769,-122.3874,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
8e77863d-5696-4990-9f7d-fcffb6db3078,37.7689,-122.3874,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
77805255-0b67-4d28-8b49-d56156fd6207,37.7379,-122.3875,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
24bafb61-db81-4c9e-a237-cb30eda768c7,37.7851,-122.3878,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
c42edea2-c825-47d3-8776-72d70b2d49a0,37.7351,-122.3849,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
cd5a3bb1-2ce5-4179-95c5-b60ab20e7a67,37.771,-122.3863,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
e9cc0ce9-bb52-4a65-98b4-a72801dea7d0,37.7851,-122.3877,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
05b9e771-d126-4b99-88f5-b4aac6dc028a,37.7419,-122.3698,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
04586c87-5382-48d2-88e7-4d888929d13f,37.7379,-122.3875,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
189104f4-f256-42dd-af8f-c01ab17d6726,37.7543,-122.3841,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
861569b0-fff3-4954-8ee6-333a68225eca,37.7675,-122.3864,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
98098aec-0016-4443-99cc-9f3fcc51f034,37.7686,-122.3864,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
9cf9f67b-c605-4371-b919-c86edfb9b3ab,37.7658,-122.3865,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
c76e5817-1907-4cbf-8bcb-ed2dd02587fc,37.7714,-122.3878,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
ca827174-e3fb-4ba5-b683-3e9f8ff42503,37.7672,-122.388,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
84d9b95a-bf6d-425c-adbd-9f7fcca7804a,37.7709,-122.388,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
6ca5d36e-e22d-46cf-9e95-fb4dac211ec9,37.7821,-122.3881,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
d58e6569-1184-4685-b984-ca4c066f791e,37.7668,-122.3881,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
cd302db3-25f5-46ee-bc01-569e6190d750,37.7857,-122.3882,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
4a9dfa2c-4e7a-4ab5-8e10-cb85ffd51ccd,37.7668,-122.3882,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
53da71c5-23ba-4831-a3f1-5d10f979198c,37.7658,-122.3885,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
6276e1e1-bd17-4ae4-86d4-fee4495273d7,37.7667,-122.3885,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
08c5ef91-81c8-4551-b5d0-cece3ebae001,37.7616,-122.3889,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
3868551e-9a93-4f35-8abf-348e13a92e10,37.767,-122.3893,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
acd70819-2ce6-4c26-9877-85ee626f95e5,37.7683,-122.3895,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
d199a34e-a69f-43af-8cdb-5087a2c0fb5b,37.767,-122.3895,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
eb4930db-0759-475b-803a-8a8f9767e0e3,37.7737,-122.3897,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
40e74bcc-fe91-442e-bef4-53a2a4798e9f,37.767,-122.3904,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
40140f5b-89d0-4af9-906d-b996062c53da,37.7665,-122.3907,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
dd4780b7-5ed3-4cd6-b94d-79efb4e62fdc,37.767,-122.3907,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
6addfd2b-c202-490e-b67a-39a7f85b5668,37.7652,-122.3907,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
86b762cf-71b5-4c57-951c-e8bc3b4f7d5c,37.7669,-122.3908,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
26a6c68b-1d7b-4f73-88eb-692c5719df9c,37.7674,-122.3909,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
0aa43b40-a1c7-485a-b958-9117bcfe8e7d,37.7676,-122.3909,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
07845446-5824-4214-bc9f-04455ef80923,37.765,-122.391,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
51f4ce0c-5ee2-47f8-9cc2-588a42cc9bcf,37.7672,-122.391,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
1bbcd546-11a7-4468-93cc-90165dcb2343,37.7674,-122.391,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
23714dc4-a727-476c-b2cd-07c5e0502bf6,37.767,-122.391,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
a080db91-3a12-4a44-b784-1a6538c881a2,37.7668,-122.3911,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
f255479d-c178-4165-b562-ee7aeaf33637,37.7668,-122.3912,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
f1c7e1c5-63a4-4215-b4f8-4aef6bcb13bd,37.7671,-122.3912,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
0ba32c2c-f5e7-47b4-9329-e13bbb2cc21f,37.7651,-122.3914,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
17a758bd-311c-4139-99d3-b164b7ee8082,37.7737,-122.3914,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
dfb1a5d4-edf9-4bf8-8c35-460446095a39,37.7777,-122.3918,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
c3065e9d-829d-4878-acf7-11482705caf0,37.7779,-122.3919,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
f7a81b5f-c2d9-42e5-9e24-3185f1ddd239,37.7865,-122.3921,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
988a8b47-bd71-497a-856a-f1b50e1de2d6,37.7709,-122.3924,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
edf14f69-77ec-47db-8124-0fb0447d4479,37.7771,-122.3926,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
f7e7cb62-8c84-457b-9a8b-f52965e87008,37.7773,-122.3926,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
7c3bb008-9a71-4cbd-ba3e-1a94a8859d72,37.7704,-122.3932,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
5b8c8fd5-24eb-4645-a262-94b469cdc7e2,37.7765,-122.3934,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
57c2c6f7-6125-4e8d-90c0-c8caed3cd959,37.7759,-122.3937,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
fde3849f-bcd5-4d40-923c-7af95ffa64f7,37.7757,-122.3938,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
31c15f57-c5e5-475e-9b0f-bb78aca2285a,37.7756,-122.3938,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
695caab6-6be0-4878-a58e-ccac57380f06,37.7768,-122.3939,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
0b42c725-5f0b-4c6f-abb2-65db6ef3b03e,37.7704,-122.3942,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
a0ba624a-79fa-4d66-81ef-a49a004e48d4,37.7704,-122.3942,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
3f30434d-5b6c-46e9-ac4d-69cd639fa433,37.7708,-122.3943,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
19ab08dc-2f63-4d82-b056-3b0a36e9e281,37.7876,-122.395,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
dad7f589-2339-4467-b00a-8bdc6d985fbe,37.7685,-122.3951,0,0,scooter,2021-05-26T04:58:28Z,2021,5,26,4,58
